model_type,final_run_id,candidate_name,candidate_run_id,threshold_tuning_run_id,decision_threshold,accuracy,precision,recall,f1,pr_auc,roc_auc,balanced_accuracy,refinement_run_id,f2,brier
LogisticRegression,82bc9a4720e04a50ae942128305eb90d,lr_candidate_12,74e8884c230349f3ad29021db15f54a2,4d0a1f65fd754905bb85a4459886cb10,0.59,0.777593819,0.38073827,0.656660413,0.482005141,0.432748858,0.817565379,0.728437831,,,
XGBoost,057bb58d81564c0db9a628b224eab8f9,xgb_candidate_29,02807641d2814f48a084c7c451414917,a1a47bcc23d844539d92f3a3ed8fec1e,0.5,0.798151214,0.407814809,0.621388368,0.492441889,0.464397478,0.824820173,0.726302148,e89987fd9aec4a11a1108c8afaf6561b,0.562474526,0.133926098
