model_type,operational_role,candidate_run_id,final_run_id,decision_threshold,n_estimators,max_depth,learning_rate,min_child_weight,subsample,colsample_bytree,reg_alpha,reg_lambda,gamma,scale_pos_weight,objective,eval_metric,tree_method,n_jobs,random_state,C,class_weight,solver,penalty,max_iter
XGBoost,champion,02807641d2814f48a084c7c451414917,057bb58d81564c0db9a628b224eab8f9,0.5,450.0,4.0,0.03,5.0,0.8,0.8,0.1,10.0,0.05,3.0,binary:logistic,aucpr,hist,-1.0,42,,,,,
LogisticRegression,runner_up,74e8884c230349f3ad29021db15f54a2,82bc9a4720e04a50ae942128305eb90d,0.59,,,,,,,,,,,,,,,42,100.0,balanced,lbfgs,l2,3000.0
